university_name,year,subject_type,major_group,subject_requirement,min_score,min_rank
南京大学,2024,历史类,03专业组,不限,638,401
东南大学,2024,历史类,03专业组,不限,629,798
南京航空航天大学,2024,历史类,01专业组,不限,605,3225
南京理工大学,2024,历史类,01专业组,不限,602,3681
河海大学,2024,历史类,02专业组,不限,596,4751
南京师范大学,2024,历史类,05专业组,不限,592,5561
苏州大学,2024,历史类,03专业组,不限,590,5958
南京财经大学,2024,历史类,04专业组,不限,566,12572
南京审计大学,2024,历史类,01专业组,不限,566,12572
扬州大学,2024,历史类,03专业组,不限,550,18357
南京邮电大学,2024,历史类,02专业组,不限,572,10689
南京大学,2025,历史类,03专业组,不限,643,497
东南大学,2025,历史类,03专业组,不限,636,828
南京师范大学,2025,历史类,05专业组,不限,629,1337
南京师范大学,2025,历史类,08专业组,不限,604,4889
苏州大学,2025,历史类,03专业组,思想政治+地理,627,1489
苏州大学,2025,历史类,12专业组,不限,596,6765
