university_name,year,subject_type,major_group,subject_requirement,min_score,min_rank
南京师范大学,2024,历史类,08专业组,不限,582,7859
苏州大学,2024,历史类,06专业组,不限,580,8377
南京财经大学,2024,历史类,01专业组,不限,580,8377
南京审计大学,2024,历史类,03专业组,不限,575,9798
扬州大学,2024,历史类,05专业组,不限,568,11956
扬州大学,2024,历史类,06专业组,不限,555,16407
南京林业大学,2024,历史类,02专业组,不限,570,11302
南京工业大学,2024,历史类,03专业组,不限,555,16407
江苏大学,2024,历史类,03专业组,不限,550,18357
江苏师范大学,2024,历史类,02专业组,不限,540,22464
南通大学,2024,历史类,02专业组,不限,535,24575
常州大学,2024,历史类,02专业组,不限,535,24575
南京晓庄学院,2024,历史类,02专业组,不限,525,29083
金陵科技学院,2024,历史类,02专业组,不限,515,33682
南京财经大学,2024,历史类,02专业组,不限,572,11302
南京审计大学,2024,历史类,04专业组,不限,570,11302
苏州大学,2024,历史类,05专业组,不限,576,9484
南京师范大学,2024,历史类,10专业组,不限,576,9484
江苏大学,2024,历史类,04专业组,不限,545,20359
南京晓庄学院,2024,历史类,03专业组,不限,520,31428
