year,subject_type,score,rank
2024,历史类,651,105
2024,历史类,650,114
2024,历史类,649,131
2024,历史类,648,144
2024,历史类,647,161
2024,历史类,646,180
2024,历史类,645,197
2024,历史类,644,230
2024,历史类,643,251
2024,历史类,642,272
2024,历史类,641,302
2024,历史类,640,327
2024,历史类,639,365
2024,历史类,638,401
2024,历史类,637,445
2024,历史类,636,479
2024,历史类,635,508
2024,历史类,634,553
2024,历史类,633,590
2024,历史类,632,633
2024,历史类,631,684
2024,历史类,630,733
2024,历史类,629,798
2024,历史类,628,861
2024,历史类,627,923
2024,历史类,626,990
2024,历史类,625,1057
2024,历史类,624,1122
2024,历史类,623,1181
2024,历史类,622,1260
2024,历史类,621,1340
2024,历史类,620,1426
2024,历史类,619,1506
2024,历史类,618,1601
2024,历史类,617,1700
2024,历史类,616,1801
2024,历史类,615,1906
2024,历史类,614,2031
2024,历史类,613,2155
2024,历史类,612,2280
2024,历史类,611,2398
2024,历史类,610,2516
2024,历史类,609,2654
2024,历史类,608,2793
2024,历史类,607,2937
2024,历史类,606,3067
2024,历史类,605,3225
2024,历史类,604,3366
2024,历史类,603,3510
2024,历史类,602,3681
2024,历史类,601,3855
2024,历史类,600,4028
2024,历史类,599,4190
2024,历史类,598,4358
2024,历史类,597,4550
2024,历史类,596,4751
2024,历史类,595,4943
2024,历史类,594,5138
2024,历史类,593,5365
2024,历史类,592,5561
2024,历史类,591,5754
2024,历史类,590,5958
2024,历史类,589,6168
2024,历史类,588,6398
2024,历史类,587,6638
2024,历史类,586,6866
2024,历史类,585,7092
2024,历史类,584,7329
2024,历史类,583,7575
2024,历史类,582,7859
2024,历史类,581,8108
2024,历史类,580,8377
2024,历史类,579,8655
2024,历史类,578,8946
2024,历史类,577,9222
2024,历史类,576,9484
2024,历史类,575,9798
2024,历史类,574,10080
2024,历史类,573,10412
2024,历史类,572,10689
2024,历史类,571,10994
2024,历史类,570,11302
2024,历史类,569,11623
2024,历史类,568,11956
2024,历史类,567,12260
2024,历史类,566,12572
2024,历史类,565,12898
2024,历史类,564,13262
2024,历史类,563,13578
2024,历史类,562,13908
2024,历史类,561,14231
2024,历史类,560,14582
2024,历史类,559,14929
2024,历史类,558,15274
2024,历史类,557,15653
2024,历史类,556,16019
2024,历史类,555,16407
2024,历史类,554,16794
2024,历史类,553,17142
2024,历史类,552,17538
2024,历史类,551,17923
2024,历史类,550,18357
2024,历史类,549,18742
2024,历史类,548,19125
2024,历史类,547,19543
2024,历史类,546,19983
2024,历史类,545,20359
2024,历史类,544,20776
2024,历史类,543,21166
2024,历史类,542,21615
2024,历史类,541,22031
2024,历史类,540,22464
2024,历史类,539,22877
2024,历史类,538,23304
2024,历史类,537,23736
2024,历史类,536,24138
2024,历史类,535,24575
2024,历史类,534,25037
2024,历史类,533,25449
2024,历史类,532,25910
2024,历史类,531,26371
2024,历史类,530,26805
2024,历史类,529,27265
2024,历史类,528,27732
2024,历史类,527,28204
2024,历史类,526,28647
2024,历史类,525,29083
2024,历史类,524,29546
2024,历史类,523,29991
2024,历史类,522,30462
2024,历史类,521,30977
2024,历史类,520,31428
2024,历史类,519,31897
2024,历史类,518,32328
2024,历史类,517,32754
2024,历史类,516,33212
2024,历史类,515,33682
2024,历史类,514,34139
2024,历史类,513,34650
2024,历史类,512,35123
2024,历史类,511,35617
2024,历史类,510,36096
2024,历史类,509,36593
2024,历史类,508,37065
2024,历史类,507,37499
2024,历史类,506,38000
2024,历史类,505,38453
2024,历史类,504,38906
2024,历史类,503,39375
2024,历史类,502,39855
2024,历史类,501,40293
2024,历史类,500,40717
2024,历史类,499,41176
2024,历史类,498,41642
2024,历史类,497,42145
2024,历史类,496,42608
2024,历史类,495,43078
2024,历史类,494,43538
2024,历史类,493,44010
2024,历史类,492,44492
2024,历史类,491,44945
2024,历史类,490,45451
2024,历史类,489,45928
2024,历史类,488,46414
2024,历史类,487,46894
2024,历史类,486,47355
2024,历史类,485,47825
2024,历史类,484,48269
2024,历史类,483,48736
2024,历史类,482,49204
2024,历史类,481,49648
2024,历史类,480,50085
2024,历史类,479,50547
2024,历史类,478,50966
