year,subject_type,score,rank
2024,物理类,689,107
2024,物理类,688,122
2024,物理类,687,143
2024,物理类,686,166
2024,物理类,685,193
2024,物理类,684,226
2024,物理类,683,256
2024,物理类,682,298
2024,物理类,681,334
2024,物理类,680,371
2024,物理类,679,423
2024,物理类,678,483
2024,物理类,677,530
2024,物理类,676,596
2024,物理类,675,662
2024,物理类,674,727
2024,物理类,673,812
2024,物理类,672,887
2024,物理类,671,977
2024,物理类,670,1067
2024,物理类,669,1172
2024,物理类,668,1284
2024,物理类,667,1405
2024,物理类,666,1540
2024,物理类,665,1669
2024,物理类,664,1823
2024,物理类,663,1987
2024,物理类,662,2137
2024,物理类,661,2296
2024,物理类,660,2475
2024,物理类,659,2662
2024,物理类,658,2842
2024,物理类,657,3026
2024,物理类,656,3228
2024,物理类,655,3476
2024,物理类,654,3746
2024,物理类,653,3987
2024,物理类,652,4228
2024,物理类,651,4499
2024,物理类,650,4770
2024,物理类,649,5059
2024,物理类,648,5322
2024,物理类,647,5643
2024,物理类,646,5945
2024,物理类,645,6275
2024,物理类,644,6604
2024,物理类,643,6950
2024,物理类,642,7276
2024,物理类,641,7633
2024,物理类,640,8014
2024,物理类,639,8379
2024,物理类,638,8779
2024,物理类,637,9144
2024,物理类,636,9521
2024,物理类,635,9940
2024,物理类,634,10322
2024,物理类,633,10758
2024,物理类,632,11188
2024,物理类,631,11629
2024,物理类,630,12125
2024,物理类,629,12577
2024,物理类,628,13036
2024,物理类,627,13550
2024,物理类,626,14097
2024,物理类,625,14593
2024,物理类,624,15117
2024,物理类,623,15669
2024,物理类,622,16227
2024,物理类,621,16767
2024,物理类,620,17342
2024,物理类,619,17929
2024,物理类,618,18490
2024,物理类,617,19075
2024,物理类,616,19693
2024,物理类,615,20314
2024,物理类,614,20990
2024,物理类,613,21588
2024,物理类,612,22221
2024,物理类,611,22842
2024,物理类,610,23501
2024,物理类,609,24205
2024,物理类,608,24904
2024,物理类,607,25605
2024,物理类,606,26287
2024,物理类,605,27034
2024,物理类,604,27764
2024,物理类,603,28485
2024,物理类,602,29206
2024,物理类,601,29982
2024,物理类,600,30768
2024,物理类,599,31527
2024,物理类,598,32341
2024,物理类,597,33187
2024,物理类,596,33980
2024,物理类,595,34819
2024,物理类,594,35656
2024,物理类,593,36502
2024,物理类,592,37357
2024,物理类,591,38210
2024,物理类,590,39109
2024,物理类,589,39949
2024,物理类,588,40816
2024,物理类,587,41690
2024,物理类,586,42593
2024,物理类,585,43562
2024,物理类,584,44461
2024,物理类,583,45389
2024,物理类,582,46287
2024,物理类,581,47277
2024,物理类,580,48269
2024,物理类,579,49218
2024,物理类,578,50217
2024,物理类,577,51190
2024,物理类,576,52209
2024,物理类,575,53203
2024,物理类,574,54263
2024,物理类,573,55258
2024,物理类,572,56323
2024,物理类,571,57398
2024,物理类,570,58417
2024,物理类,569,59522
2024,物理类,568,60584
2024,物理类,567,61604
2024,物理类,566,62680
2024,物理类,565,63762
2024,物理类,564,64886
2024,物理类,563,65949
2024,物理类,562,67047
2024,物理类,561,68148
2024,物理类,560,69269
2024,物理类,559,70429
2024,物理类,558,71599
2024,物理类,557,72743
2024,物理类,556,73918
2024,物理类,555,75079
2024,物理类,554,76275
2024,物理类,553,77480
2024,物理类,552,78655
2024,物理类,551,79873
2024,物理类,550,81093
2024,物理类,549,82303
2024,物理类,548,83547
2024,物理类,547,84717
2024,物理类,546,85999
2024,物理类,545,87181
2024,物理类,544,88414
2024,物理类,543,89635
2024,物理类,542,90893
2024,物理类,541,92180
2024,物理类,540,93432
2024,物理类,539,94704
2024,物理类,538,96022
2024,物理类,537,97313
2024,物理类,536,98546
2024,物理类,535,99843
2024,物理类,534,101147
2024,物理类,533,102418
2024,物理类,532,103671
2024,物理类,531,104892
2024,物理类,530,106217
2024,物理类,529,107572
2024,物理类,528,108842
2024,物理类,527,110101
2024,物理类,526,111412
2024,物理类,525,112671
2024,物理类,524,113931
2024,物理类,523,115153
2024,物理类,522,116477
2024,物理类,521,117794
2024,物理类,520,119050
2024,物理类,519,120389
2024,物理类,518,121728
2024,物理类,517,122990
2024,物理类,516,124308
2024,物理类,515,125638
2024,物理类,514,126937
2024,物理类,513,128299
2024,物理类,512,129567
2024,物理类,511,130825
2024,物理类,510,132149
2024,物理类,509,133496
2024,物理类,508,134800
2024,物理类,507,136073
2024,物理类,506,137345
2024,物理类,505,138641
2024,物理类,504,139961
2024,物理类,503,141246
2024,物理类,502,142526
2024,物理类,501,143833
2024,物理类,500,145118
2024,物理类,499,146448
2024,物理类,498,147674
2024,物理类,497,148964
2024,物理类,496,150226
2024,物理类,495,151408
2024,物理类,494,152611
2024,物理类,493,153885
2024,物理类,492,155088
2024,物理类,491,156374
2024,物理类,490,157611
2024,物理类,489,158766
2024,物理类,488,159982
2024,物理类,487,161179
2024,物理类,486,162352
2024,物理类,485,163468
2024,物理类,484,164623
2024,物理类,483,165768
2024,物理类,482,166885
2024,物理类,481,168025
2024,物理类,480,169209
2024,物理类,479,170310
2024,物理类,478,171387
2024,物理类,477,172470
2024,物理类,476,173584
2024,物理类,475,174679
2024,物理类,474,175746
2024,物理类,473,176812
2024,物理类,472,177856
2024,物理类,471,178869
2024,物理类,470,179916
2024,物理类,469,180999
2024,物理类,468,181983
2024,物理类,467,182987
2024,物理类,466,184006
2024,物理类,465,185002
2024,物理类,464,186046
2024,物理类,463,186998
2024,物理类,462,187958
